startDateTime,endDateTime,surfWaterNitrateMean,surfWaterNitrateMinimum,surfWaterNitrateMaximum,surfWaterNitrateVariance,surfWaterNitrateNumPts,surfWaterNitrateExpUncert,surfWaterNitrateStdErMean,finalQF
"2020-05-01T00:00:00Z","2020-05-01T00:15:00Z",16.2,15.8,16.8,0.09,11,1.34,0.09,0
"2020-05-01T00:15:00Z","2020-05-01T00:30:00Z",16.3,16.0,16.8,0.07,11,1.34,0.08,0
"2020-05-01T00:30:00Z","2020-05-01T00:45:00Z",16.1,15.8,16.4,0.05,11,1.34,0.07,0
"2020-05-01T00:45:00Z","2020-05-01T01:00:00Z",16.1,15.8,16.3,0.03,11,1.34,0.05,0
"2020-05-01T01:00:00Z","2020-05-01T01:15:00Z",16.2,15.8,16.6,0.05,11,1.34,0.07,0
"2020-05-01T01:15:00Z","2020-05-01T01:30:00Z",16.2,16.0,16.5,0.03,11,1.34,0.05,0
"2020-05-01T01:30:00Z","2020-05-01T01:45:00Z",16.3,15.8,16.7,0.08,11,1.34,0.09,0
"2020-05-01T01:45:00Z","2020-05-01T02:00:00Z",16.6,16.2,17.1,0.07,11,1.34,0.08,0
"2020-05-01T02:00:00Z","2020-05-01T02:15:00Z",16.8,16.4,17.3,0.06,11,1.34,0.08,0
"2020-05-01T02:15:00Z","2020-05-01T02:30:00Z",16.6,16.4,17.0,0.04,11,1.34,0.06,0
"2020-05-01T02:30:00Z","2020-05-01T02:45:00Z",16.6,16.2,17.0,0.04,11,1.34,0.06,0
"2020-05-01T02:45:00Z","2020-05-01T03:00:00Z",17.0,16.5,17.6,0.09,11,1.34,0.09,0
"2020-05-01T03:00:00Z","2020-05-01T03:15:00Z",16.6,15.9,17.3,0.19,11,1.36,0.13,0
"2020-05-01T03:15:00Z","2020-05-01T03:30:00Z",16.7,16.2,17.3,0.10,11,1.35,0.09,0
"2020-05-01T03:30:00Z","2020-05-01T03:45:00Z",17.0,16.6,17.6,0.11,11,1.35,0.10,0
"2020-05-01T03:45:00Z","2020-05-01T04:00:00Z",17.0,16.3,17.5,0.13,11,1.35,0.11,0
"2020-05-01T04:00:00Z","2020-05-01T04:15:00Z",16.9,16.4,17.1,0.05,11,1.34,0.07,0
"2020-05-01T04:15:00Z","2020-05-01T04:30:00Z",16.9,16.4,17.4,0.11,11,1.35,0.10,0
"2020-05-01T04:30:00Z","2020-05-01T04:45:00Z",17.0,16.5,17.6,0.12,11,1.35,0.10,0
"2020-05-01T04:45:00Z","2020-05-01T05:00:00Z",16.8,16.3,17.6,0.11,11,1.35,0.10,0
"2020-05-01T05:00:00Z","2020-05-01T05:15:00Z",17.0,16.4,17.7,0.11,11,1.35,0.10,0
"2020-05-01T05:15:00Z","2020-05-01T05:30:00Z",16.8,16.5,17.5,0.13,11,1.35,0.11,0
"2020-05-01T05:30:00Z","2020-05-01T05:45:00Z",17.0,16.7,17.4,0.04,11,1.34,0.06,0
"2020-05-01T05:45:00Z","2020-05-01T06:00:00Z",16.8,16.2,17.3,0.09,11,1.34,0.09,0
"2020-05-01T06:00:00Z","2020-05-01T06:15:00Z",16.8,16.1,17.2,0.11,11,1.35,0.10,0
"2020-05-01T06:15:00Z","2020-05-01T06:30:00Z",16.8,16.4,17.4,0.14,11,1.35,0.11,0
"2020-05-01T06:30:00Z","2020-05-01T06:45:00Z",16.6,16.2,16.9,0.05,11,1.34,0.07,0
"2020-05-01T06:45:00Z","2020-05-01T07:00:00Z",16.8,16.3,17.4,0.09,11,1.34,0.09,0
"2020-05-01T07:00:00Z","2020-05-01T07:15:00Z",16.7,16.1,17.3,0.11,11,1.35,0.10,0
"2020-05-01T07:15:00Z","2020-05-01T07:30:00Z",16.8,16.3,17.2,0.08,11,1.34,0.08,0
"2020-05-01T07:30:00Z","2020-05-01T07:45:00Z",16.6,15.7,17.2,0.16,11,1.35,0.12,0
"2020-05-01T07:45:00Z","2020-05-01T08:00:00Z",16.6,16.1,17.2,0.08,11,1.34,0.09,0
"2020-05-01T08:00:00Z","2020-05-01T08:15:00Z",16.6,15.8,17.1,0.18,11,1.36,0.13,0
"2020-05-01T08:15:00Z","2020-05-01T08:30:00Z",16.7,16.1,17.2,0.10,11,1.35,0.09,0
"2020-05-01T08:30:00Z","2020-05-01T08:45:00Z",16.7,16.2,17.1,0.12,11,1.35,0.10,0
"2020-05-01T08:45:00Z","2020-05-01T09:00:00Z",16.6,16.0,17.2,0.13,11,1.35,0.11,0
"2020-05-01T09:00:00Z","2020-05-01T09:15:00Z",16.5,16.2,16.8,0.05,11,1.34,0.07,0
"2020-05-01T09:15:00Z","2020-05-01T09:30:00Z",16.7,16.1,17.2,0.15,11,1.35,0.12,0
"2020-05-01T09:30:00Z","2020-05-01T09:45:00Z",16.7,16.5,17.3,0.07,11,1.34,0.08,0
"2020-05-01T09:45:00Z","2020-05-01T10:00:00Z",16.7,16.2,17.1,0.07,11,1.34,0.08,0
"2020-05-01T10:00:00Z","2020-05-01T10:15:00Z",16.7,16.4,17.3,0.08,11,1.34,0.08,0
"2020-05-01T10:15:00Z","2020-05-01T10:30:00Z",16.6,15.8,16.9,0.11,11,1.35,0.10,0
"2020-05-01T10:30:00Z","2020-05-01T10:45:00Z",16.6,16.0,16.9,0.06,11,1.34,0.07,0
"2020-05-01T10:45:00Z","2020-05-01T11:00:00Z",16.4,15.8,16.8,0.10,11,1.35,0.09,0
"2020-05-01T11:00:00Z","2020-05-01T11:15:00Z",16.6,16.1,16.8,0.05,11,1.34,0.07,0
"2020-05-01T11:15:00Z","2020-05-01T11:30:00Z",16.7,16.4,17.2,0.05,11,1.34,0.07,0
"2020-05-01T11:30:00Z","2020-05-01T11:45:00Z",16.4,15.7,16.7,0.08,11,1.34,0.09,0
"2020-05-01T11:45:00Z","2020-05-01T12:00:00Z",16.3,16.0,16.6,0.05,11,1.34,0.06,0
"2020-05-01T12:00:00Z","2020-05-01T12:15:00Z",16.5,16.2,17.0,0.07,11,1.34,0.08,0
"2020-05-01T12:15:00Z","2020-05-01T12:30:00Z",16.5,16.1,17.3,0.14,11,1.35,0.11,0
"2020-05-01T12:30:00Z","2020-05-01T12:45:00Z",16.4,15.9,16.9,0.11,11,1.35,0.10,0
"2020-05-01T12:45:00Z","2020-05-01T13:00:00Z",16.2,15.8,16.6,0.06,11,1.34,0.07,0
"2020-05-01T13:00:00Z","2020-05-01T13:15:00Z",16.3,15.6,16.8,0.12,11,1.35,0.10,0
"2020-05-01T13:15:00Z","2020-05-01T13:30:00Z",16.4,16.1,16.8,0.05,11,1.34,0.07,0
"2020-05-01T13:30:00Z","2020-05-01T13:45:00Z",16.4,16.0,16.8,0.06,11,1.34,0.07,0
"2020-05-01T13:45:00Z","2020-05-01T14:00:00Z",16.4,15.9,17.0,0.12,11,1.35,0.10,0
"2020-05-01T14:00:00Z","2020-05-01T14:15:00Z",16.4,15.9,16.7,0.05,11,1.34,0.07,0
"2020-05-01T14:15:00Z","2020-05-01T14:30:00Z",16.1,15.6,16.6,0.09,11,1.34,0.09,0
"2020-05-01T14:30:00Z","2020-05-01T14:45:00Z",16.4,16.0,16.9,0.07,11,1.34,0.08,0
"2020-05-01T14:45:00Z","2020-05-01T15:00:00Z",16.4,15.9,16.9,0.07,11,1.34,0.08,0
"2020-05-01T15:00:00Z","2020-05-01T15:15:00Z",16.4,16.0,16.6,0.04,11,1.34,0.06,0
"2020-05-01T15:15:00Z","2020-05-01T15:30:00Z",16.2,15.2,16.5,0.14,11,1.35,0.11,0
"2020-05-01T15:30:00Z","2020-05-01T15:45:00Z",16.3,15.8,16.8,0.09,11,1.34,0.09,0
"2020-05-01T15:45:00Z","2020-05-01T16:00:00Z",16.1,15.5,16.6,0.11,11,1.35,0.10,0
"2020-05-01T16:00:00Z","2020-05-01T16:15:00Z",16.2,15.5,16.6,0.11,11,1.35,0.10,0
"2020-05-01T16:15:00Z","2020-05-01T16:30:00Z",16.1,15.8,16.8,0.09,11,1.34,0.09,0
"2020-05-01T16:30:00Z","2020-05-01T16:45:00Z",16.1,15.6,16.5,0.09,11,1.34,0.09,0
"2020-05-01T16:45:00Z","2020-05-01T17:00:00Z",16.1,15.8,16.3,0.02,11,1.34,0.05,0
"2020-05-01T17:00:00Z","2020-05-01T17:15:00Z",16.2,15.8,16.7,0.09,11,1.34,0.09,0
"2020-05-01T17:15:00Z","2020-05-01T17:30:00Z",16.2,15.6,16.6,0.07,11,1.34,0.08,0
"2020-05-01T17:30:00Z","2020-05-01T17:45:00Z",16.2,15.8,16.6,0.07,11,1.34,0.08,0
"2020-05-01T17:45:00Z","2020-05-01T18:00:00Z",16.0,15.6,16.6,0.11,11,1.35,0.10,0
